schedule,column_id,column_name,section_name,description,valid_from_year,valid_to_year,change_notes
12,01,Ontario Conditional Grants,General Information,"All conditional operating grants received or receivable from the province, including those from Ontario enterprises, are reported here.

Please note that unconditional operating grants are reported on Schedule 10, Total Revenues, because they are not related to a specific municipal function or service.

In this column, include operating grants from the Ontario Lottery Corporation.

Include grants for fully or proportionally consolidated local boards.

In this column, include the Provincial Gas Tax revenue if used for transit operations.

Include costs recovered from the province. Example: costs recovered from the province in respect of a hearing.

**For other municipalities that provide ambulance dispatch on behalf of the province, please report all revenues pertaining to ambulance dispatch on line 1035 column 1. This only applies to the following municipalities: City of Toronto, Region of Niagara, City of Ottawa, and City of Timmins. Line 1035 will be greyed out for all other municipalities.**

If Ontario conditional operating grants have been overpaid as of December 31st, the amount reported should not include the amount of the overpayment.  The overpaid portion should be recorded as a liability and included in the amount reported in Schedule 70, Consolidated Financial Position, line 2220 (Accounts Payable and accrued liabilities Ontario).

An example is overpayment for general welfare assistance.

The total for Ontario conditional grants is automatically carried forward to Schedule 10 (SLC 10 0810 01).

Provincial grants for tangible capital assets are reported on column 5. Total provincial grants for tangible capital assets are automatically carried forward to Schedule 10 (SLC 10 0815 01).",,,
12,02,Canada Conditional Grants,General Information,"Enter conditional operating grants received or receivable from the federal government or its agencies.

Include grants for fully or proportionally consolidated local boards.

If Canada conditional operating grants have been overpaid as of December 31st, the amount reported should not include the overpaid portion.  The overpaid portion should be recorded as a liability and included in the amount reported in Schedule 70, Consolidated Financial Position, line 2210, (Accounts payable and accrued liabilities Canada).

The total for Canada conditional grants is automatically carried forward to Schedule 10 (SLC 10 0820 01).

Federal grants for tangible capital assets are reported on column 6.  Total Canada conditional grants for tangible capital assets is automatically carried forward to Schedule 10 (SLC 10 0825 01).",,,
12,03,Other Municipalities,General Information,"Include revenue received or receivable from other municipalities, including amounts recovered from the upper tier.

Include amounts recovered from neighbouring municipalities for services provided.

Include amounts pertaining to agreements for joint services and fees for professional services provided.

Examples include revenue received from other municipalities for firefighting services or for work done on the roads of another municipality. Include fees received from other municipalities.

Include the sale of water to another municipality.

Include contributions to recreation centres.

Include county contributions towards roads under section 41 (5) of the Public Transportation and Highway Improvement Act.

Revenue received from a First Nations Council for fire protection services is to be reported as revenue from other municipalities in Schedule 12, column 3, rather than revenue from user fees in Schedule 12, column 4.

The total for revenue from other municipalities is automatically carried forward to Schedule 10 (SLC 10 1099 01).",,,
12,04,User Fees and Service Charges,Library Boards,"In column 4, report user fees. User fees are fees and service charges imposed by the municipality which are directly associated with a particular municipal function.",,,
12,05,Ontario Grants - Tangible Capital Assets,Responsibility for Water Services and Wastewater Services Split Between Lower Tier and Upper Tier.,"Report all Ontario grants for tangible capital assets on this column under the appropriate functional category.

Report OCIF deferred revenue earned in the year under the appropriate functional category.

Report the Provincial Gas Tax grants received and used for capital improvements for transit.

If the Provincial Gas tax was not utilized during the year, then these funds should be directly reported on Schedule 60 Line 0860 Column 1 under the provincial gas tax line.

Report all deferred revenue earned, such as Ontario bus replacement grant, etc., except for deferred revenue earned (Provincial Gas Tax) for Transit (Capital).

**Deferred revenue earned (Provincial Gas Tax) for Transit (Capital) should be entered in Schedule 60-line 1045 column 1. Schedule 10-line 0830 column 1 automatically draws the amounts entered in schedule 60-line 1042 column 1 + schedule 60-line 1045 column 1.**

**The total in column 5 in SLC 12 9910 05 is carried forward to SLC 10 0815 01.**",,,
12,06,Canada Grants - Tangible Capital Assets,Responsibility for Water Services and Wastewater Services Split Between Lower Tier and Upper Tier.,"Report all federal grants for tangible capital assets on this column under the appropriate functional category.

Report the Canada Community-Building Fund (previously Federal Gas Tax) grant received and applied (or used) to the applicable program (or the various functional areas).

If the Canada Community-Building Fund grant was not utilized during the year, then these funds should be directly reported on Schedule 60 Line 0862 Column 1 under the Canada Community-Building Fund line.

Report all deferred revenue earned, such as Federal public transit, Canada Building Fund, and Canada Community-Building Fund, etc.

The total in column 6 in SLC 12 9910 06 is carried forward to SLC 10 825 01.",,,
12,07,Other Municipalities - Tangible Capital Assets,Responsibility for Water Services and Wastewater Services Split Between Lower Tier and Upper Tier.,"Include amounts received from other municipalities for their share of capital projects.

For example, include amounts received from other municipalities for joint wastewater and water projects.",,,
20,01,Exit Capping Immediately,Capping Parameters and Results,"Enter Yes (Y) if your municipality exited the Capping Limit Program.

Enter No (Y) if your municipality did not exit the Capping Limit Program.",,,
20,02,Decrease- Percentage Retained,Capping Parameters and Results,"Enter the percentage decrease retained value for properties that would have experienced a decrease in taxes.

If the total cost of protection of the capping program has been funded by the municipality, the decrease-percentage retained should equal 100%.

If the cost of protection has been totally funded by minimizing the property tax decreases, (i.e. Revenue Neutral approach), the decrease percentage share should be between 0% and 100%.",,,
20,03,Tax Adjustment - Increasers,Capping Parameters and Results,"Tax Adjustment - Increasers refers to the dollar amount refunded or credited to the capped properties (increasing properties).  This amount is the difference between the Current Value Assessment (CVA) taxes on these properties for the year, and the capped taxes raised from these properties.

For municipalities that use the OPTA system, these amounts are displayed on the summary lines of the frozen capping reports.

Upper tier municipalities must report the total cost of protection for all capped properties across the upper tier.",,,
